# Ring 2 OpenXmlValidator ratchet baseline (plan D3).
# Columns: pair_stem	error_id	description
# Ratchet direction: this file must only ever shrink (NEW keys fail the sweep).
#
# First real bless, 2026-09-05. Ring 2 had never been run: tools/validate-docx/
# is empty in this checkout (the C# project lives in the wt-r2 / wt-styles
# worktrees), so the previous "initial bless is empty" line described a sweep
# that had not happened rather than a clean corpus.
#
# Full sweep over the 207-pair word_based corpus: 1294 findings, 54 pairs.
# This baseline records that state so future regressions are detectable. It is
# NOT an assertion that these are acceptable. Triage so far:
#
#   ~495  r/g/b="0%" colour attributes  — INHERITED: 4 source documents carry
#         them; our output copies them through.
#     81  w:Unid undeclared             — OURS: internal PT scratch serialized
#         with the w: prefix, so the pt:* stripper misses it.
#         See KNOWN_ISSUES.md issue 4.
#     48  w:ins inside OMML math        — needs triage.
#    108  undeclared attributes incl. paragraphProperties="[object Object]"
#         — INHERITED from JS-generated fixtures (complex_style_attr.docx).
#
# Counts by error_id at bless time:
#     761  Sch_AttributeValueDataTypeDetailed
#     186  Sch_InvalidElementContentExpectingComplex
#     114  Sch_UnexpectedElementContentExpectingComplex
#     108  Sch_UndeclaredAttribute
#      76  Sch_MissRequiredAttribute
#      31  Sch_AttributeUnionFailedEx
#      16  Sch_ElementValueDataTypeDetailed
#       2  MC_InvalidPreserveAttributesAttribute
1_5_line_spacing_id_paraid_overflow_24_id_paraid_overflow.ours	Sch_UndeclaredAttribute
I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you_increase_indent_demo_id_paraid_overflow.ours	Sch_MissRequiredAttribute
bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2.ours	Sch_InvalidElementContentExpectingComplex
book_catalog_table_budget_report_q1_2026_suggesting_insertions.ours	Sch_InvalidElementContentExpectingComplex
book_catalog_table_budget_report_q1_2026_suggesting_insertions.ours	Sch_UndeclaredAttribute
comments_complex_style_attr.ours	Sch_InvalidElementContentExpectingComplex
comments_complex_style_attr.ours	Sch_UndeclaredAttribute
complex_style_attr_contract_review_suggesting_insertions.ours	Sch_InvalidElementContentExpectingComplex
complex_style_attr_contract_review_suggesting_insertions.ours	Sch_UndeclaredAttribute
docx_lots_of_comments_addition_redline_addition_v_removal_docx_lots_of_comments_addition_redline.ours	Sch_InvalidElementContentExpectingComplex
docx_lots_of_comments_addition_redline_docx_lots_of_comments_addition_removal_redline_removal_v_addition.ours	Sch_InvalidElementContentExpectingComplex
docx_lots_of_comments_addition_removal_redline_removal_v_addition_docx_lots_of_comments_addition_removal_redline.ours	Sch_InvalidElementContentExpectingComplex
docx_lots_of_comments_double_spacing_bold_demo_id_paraid_overflow.ours	Sch_MissRequiredAttribute
double_spacing_bold_demo_id_paraid_overflow_eigenpal_docx_editor_suggesting_mixed_edits.ours	Sch_InvalidElementContentExpectingComplex
eigenpal_docx_editor_suggesting_mixed_edits_employee_directory_table_2.ours	Sch_InvalidElementContentExpectingComplex
heading_1_style_demo_id_paraid_overflow_heading_2_center_demo_id_paraid_overflow.ours	Sch_InvalidElementContentExpectingComplex
heading_3_style_demo_id_paraid_overflow_2_heading_3_style_demo_id_paraid_overflow.ours	Sch_InvalidElementContentExpectingComplex
heading_3_style_demo_id_paraid_overflow_heading_4_right_italic_id_paraid_overflow.ours	Sch_InvalidElementContentExpectingComplex
heading_4_style_demo_id_paraid_overflow_2_heading_4_style_demo_id_paraid_overflow.ours	Sch_InvalidElementContentExpectingComplex
hr_onboarding_checklist_table_I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you.ours	Sch_InvalidElementContentExpectingComplex
hr_onboarding_checklist_table_I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you.ours	Sch_MissRequiredAttribute
