# jubarte convert baseline (76 set), jubarte 0.9.0, 2026-09-05
# mean Jaccard 13.74, median 8.86, n=76
# ratchet: row drop >1.0 or mean drop >0.2 is a regression (planning/plan.md)
stem	jaccard	ssim	text_boundary
case1	44.7442	61.1897	100.0000
case10	14.4041	52.1779	100.0000
case11	7.0787	19.9784	23.8806
case12	50.9688	68.2226	100.0000
case13	7.5313	19.5226	0.1790
case14	64.1566	88.5958	100.0000
case15	4.4996	26.9712	0.0000
case16	40.2733	50.2400	0.0000
case17	5.3087	18.8947	83.3333
case18	5.5368	15.8139	0.0000
case19	5.4824	19.6129	100.0000
case2	4.0218	10.8409	100.0000
case20	5.5595	17.2841	100.0000
case21	5.1958	12.1853	0.0000
case22	5.6168	14.6955	0.0000
case23	3.5872	10.8614	28.5714
case24	6.4882	17.4964	5.3333
case25	1.9524	11.2510	20.0000
case26	1.4581	12.5609	40.0000
case27	48.3480	48.3235	100.0000
case28	4.0882	13.8440	50.0000
case29	30.7892	40.6396	0.0000
case3	0.8905	11.8531	60.0000
case30	34.1401	51.4180	0.0000
case31	10.3712	28.8795	0.0000
case32	9.8317	26.2304	37.5000
case33	6.9304	31.3074	72.7273
case34	10.9423	50.1400	0.0000
case35	12.3211	46.0145	0.0000
case36	2.8976	51.1597	0.0000
case37	0.0000	0.0385	0.0000
case38	0.0000	53.6670	0.0000
case39	13.7800	26.3105	100.0000
case4	16.5557	44.1320	49.1228
case40	8.9987	20.4716	16.6667
case41	9.2776	42.3743	0.0000
case42	26.8962	18.7573	0.0000
case43	7.1413	11.7691	66.6667
case44	5.5375	14.8666	100.0000
case45	4.9259	15.5157	6.4516
case46	5.8364	19.1752	5.3156
case47	35.7097	31.3216	4.7619
case48	7.0879	23.7231	100.0000
case49	6.8702	21.4396	46.9697
case5	29.3069	45.0339	100.0000
case50	4.6501	12.8036	90.9091
case51	3.0160	13.4802	0.0000
case52	19.7459	39.7317	0.0000
case53	18.7271	20.3877	0.0000
case54	25.2287	56.8710	77.0492
case55	15.8831	41.4324	100.0000
case56	15.8549	70.4907	100.0000
case57	13.6303	31.7431	100.0000
case59	37.3555	63.7949	0.0000
case6	9.1423	37.2974	65.4206
case60	32.3418	51.4611	0.0000
case61	4.4279	15.8256	0.0000
case62	8.7166	28.8345	100.0000
case63	1.2668	8.8572	0.0000
case64	2.5363	11.3940	100.0000
case66	22.4081	21.2465	0.0000
case67	12.0710	11.4225	0.0000
case68	6.0198	11.2262	100.0000
case69	6.8853	11.6612	33.3333
case7	9.7959	22.1453	100.0000
case70	9.1626	21.3405	0.0000
case71	18.7896	33.9327	50.0000
case72	20.7180	36.4348	71.4286
case73	20.9067	32.5629	28.5714
case74	5.4760	13.9351	0.0000
case75	5.0685	14.4479	0.0000
case76	2.5144	6.2132	0.0000
case77	9.0090	26.2237	72.2222
case78	18.0062	45.8569	100.0000
case8	7.7116	11.2635	0.0000
case9	23.7242	34.6211	100.0000
