1_5_line_spacing_id_paraid_overflow_24_id_paraid_overflow	L2-inventory	del:5v7 ins:1v2 pPrChange:3v1
24_id_paraid_overflow_alternate_content	L1-opseq	op[0] ours=ins:'Thisdocumentdemonstratesvalidusesofmc:Al' word=ins:'Thisdocumentdemonstratesvalidusesofmc:Al'
24_id_paraid_overflow_blue_bold_centered_demo_id_paraid_overflow	L1-opseq	op[0] ours=ins:'BlueBoldCenteredDemo' word=ins:'BlueBoldCenteredDemoThisdocumentshowsblu'
I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you_increase_indent_demo_id_paraid_overflow	L2-inventory	del:479v475 delInstrText:1v12 delText:236v238 pPrChange:0v1
I_am_sharing_Microsoft_Word_vs_Google_Docs_Comprehensive_Proof_with_you_increase_indent_demo_id_paraid_overflow	L3-histogram	only-ours=['hyperlink'] only-word=['avLst', 'bookmarkEnd', 'bookmarkStart', 'cnfStyle', 'effectExtent', 'lastRenderedPageBreak', 'noProof', 'pPrChange']
alternate_content_anchor_images	L2-inventory	del:11v12 ins:9v10
alternate_content_anchor_images	L3-histogram	only-ours=[] only-word=['bookmarkEnd', 'bookmarkStart']
blue_bold_centered_demo_id_paraid_overflow_blue_centered_title_demo_style_default_missing	L1-opseq	op[5] ours=ins:'Titlestylecentered' word=ins:'Titlestyle'
blue_italic_text_demo_id_paraid_overflow_blue_underline_combo_demo_id_paraid_overflow	L3-histogram	only-ours=['pPr'] only-word=[]
blue_underline_combo_demo_id_paraid_overflow_bold_and_italic_combo_style_default_missing	L1-opseq	op[3] ours=ins:'Demonstratingboldanditaliccombined' word=ins:'Demonstratingboldanditaliccombined.'
bold_and_italic_combo_style_default_missing_bold_and_underline_combo_id_paraid_overflow	L3-histogram	only-ours=['pPr'] only-word=[]
bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow	L2-inventory	ins:5v4
bold_and_underline_combo_id_paraid_overflow_bold_italic_combined_demo_id_paraid_overflow	L3-histogram	only-ours=['pPr'] only-word=[]
bold_italic_combined_demo_id_paraid_overflow_bold_italic_underline_demo_id_paraid_overflow	L3-histogram	only-ours=['pPr'] only-word=[]
bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow	L2-inventory	pPrChange:1v0
bold_italic_underline_demo_id_paraid_overflow_bold_red_text_combo_id_paraid_overflow	L3-histogram	only-ours=['pPr', 'pPrChange'] only-word=[]
bold_red_text_combo_id_paraid_overflow_bold_superscript_demo_style_default_missing	L3-histogram	only-ours=['pPr'] only-word=[]
bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2	L2-inventory	pPrChange:1v0
bold_superscript_demo_style_default_missing_bold_text_formatting_demo_id_paraid_overflow_2	L3-histogram	only-ours=['pPr', 'pPrChange'] only-word=[]
bold_text_formatting_demo_id_paraid_overflow_2_bold_text_formatting_demo_id_paraid_overflow	L3-histogram	only-ours=['bCs', 'pPr'] only-word=[]
bold_text_formatting_demo_id_paraid_overflow_bold_underline_combined_demo_id_paraid_overflow	L3-histogram	only-ours=['pPr'] only-word=[]
bold_underline_combined_demo_id_paraid_overflow_bold_underline_highlight_demo_id_paraid_overflow	L3-histogram	only-ours=['pPr'] only-word=[]
bold_underline_highlight_demo_id_paraid_overflow_book_catalog_id_paraid_overflow	L1-opseq	op[0] ours=ins:'BookCatalog' word=ins:'BookCatalogTitleAuthorGenreTheGreatGatsb'
book_catalog_id_paraid_overflow_book_catalog_table	L2-inventory	ins:22v23 pPrChange:1v0
book_catalog_id_paraid_overflow_book_catalog_table	L3-histogram	only-ours=['pPrChange'] only-word=['tblLook', 'tblPrEx']
book_catalog_table_budget_report_q1_2026_suggesting_insertions	L2-inventory	del:24v25 ins:13v14 pPrChange:0v1
book_catalog_table_budget_report_q1_2026_suggesting_insertions	L3-histogram	only-ours=[] only-word=['pPrChange', 'tblLook', 'tblPrEx']
budget_report_q1_2026_suggesting_insertions_bullet_list_bold_demo_id_paraid_overflow	gt-invalid	Word GT fails reconstruction; excluded
bullet_list_bold_demo_id_paraid_overflow_bullet_list_demo_id_paraid_overflow	L1-opseq	op[3] ours=ins:'Apples' word=ins:'ApplesBananasOrangesGrapes'
bullet_list_demo_id_paraid_overflow_calibri_bold_italic_demo_id_paraid_overflow	L1-opseq	op[3] ours=ins:'ThisdocumentshowsCalibrifontwithboldandi' word=ins:'ThisdocumentshowsCalibrifontwithboldandi'
calibri_bold_italic_demo_id_paraid_overflow_calibri_font_demo_id_paraid_overflow_2	L3-histogram	only-ours=['pPr'] only-word=[]
calibri_font_demo_id_paraid_overflow_2_calibri_font_demo_id_paraid_overflow	L3-histogram	only-ours=['pPr'] only-word=[]
calibri_font_demo_id_paraid_overflow_calibri_heading_2_right_id_paraid_overflow	L1-opseq	op[9] ours=ins:'Thiscombinationcreatesadistinctiveprofes' word=ins:'Thiscombinationcreatesadistinctiveprofes'
calibri_heading_2_right_id_paraid_overflow_center_aligned_bold_text_id_paraid_overflow	L1-opseq	op[3] ours=del:'CalibrifontwithHeading2styleandrightalig' word=ins:'Thistextisbothcenteredandbold.Centeredbo'
center_aligned_bold_text_id_paraid_overflow_center_alignment_demo_id_paraid_overflow_2	L1-opseq	op[6] ours=ins:'alignment' word=ins:'alignment.Alltextinthisdocument'
center_alignment_demo_id_paraid_overflow_2_center_alignment_demo_id_paraid_overflow	L2-inventory	pPrChange:2v3
center_alignment_demo_id_paraid_overflow_center_bold_demo_id_paraid_overflow	L1-opseq	op[12] ours=ins:'perfectfordocument' word=ins:'perfect'
center_bold_demo_id_paraid_overflow_clear_formatting_demo_id_paraid_overflow	L1-opseq	op[6] ours=ins:'Textwith' word=ins:'Textwithbold,italic,underlineformattingr'
clear_formatting_demo_id_paraid_overflow_comments	L1-opseq	op[0] ours=ins:'Ouch' word=ins:'Ouch.'
clear_formatting_demo_id_paraid_overflow_comments	S-rsid-leftover	1x rsid attributes remain
clear_formatting_demo_id_paraid_overflow_contract_review_suggesting_insertions	L3-histogram	only-ours=[] only-word=['proofErr', 'tblLook', 'tblPrEx']
